X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
143.32,-10.1083,train,3.260781601666883E-5,72.72607725692951,0.7475436862262228
143.4417,-9.7783,train,2.92572408370188E-5,69.31367641053124,0.709186984973469
143.2267,-10.175,train,3.3003186229021234E-5,73.07476391971173,0.7517222868011695
143.855,-9.4783,train,2.8907285135818866E-5,68.88723594431256,0.704858870933043
142.975,-9.8,train,2.9984558975082576E-5,70.16064512825864,0.7179802077598707
143.1167,-9.9883,train,2.845452499063761E-5,68.26861578607443,0.6991635952746658
143.015,-11.1717,train,2.7136334028728243E-5,66.34077460029756,0.6819485514735193
143.6,-13.2667,train,2.2339365404667218E-5,56.837503625179956,0.6105583809172876
144.045,-9.9267,train,2.5812102184685263E-5,64.26213472963805,0.663662636015814
142.65,-10.6567,train,2.626303167206248E-5,64.93771240641941,0.6700044959893858
143.3617,-9.7167,train,2.912502681719571E-5,69.15653749566405,0.7075593246829748
143.3067,-9.8633,train,3.030934695154934E-5,70.5495300289926,0.7218205115214563
143.03,-11.4333,train,2.8667463907442136E-5,68.55487408380479,0.7018557178280076
142.9667,-11.3967,train,2.8779686516488257E-5,68.73132474228774,0.7032648068286627
143.075,-11.1583,train,2.7772557154287354E-5,67.27911670348558,0.6903770009068892
143.0567,-11.375,train,2.9215152627305546E-5,69.268596776608,0.7086698307851933
142.92,-11.2433,train,2.6115730909293572E-5,64.71888244687653,0.6679461239669915
143.4283,-9.6933,train,2.7651304014778274E-5,67.10345958552917,0.68878809543786
142.755,-10.66,train,2.8645662695393387E-5,68.52059544553015,0.7015812023278889
143.4083,-9.825,train,3.0033489322782026E-5,70.22771578754025,0.7185621358516564
142.65,-9.77,train,2.95076109901059E-5,69.58968672436222,0.712244462174654
142.5167,-10.1633,train,2.868287394825563E-5,68.57910370983025,0.7020496049250076
143.095,-10.5233,train,2.7803197153949018E-5,67.33882242511051,0.6907772229616533
143.08,-11.7683,train,3.0872152133735993E-5,71.14587311840847,0.7283517300053792
142.9883,-11.0067,train,2.5034895301427357E-5,62.795562541535055,0.6524446327728755
143.4783,-11.92,train,2.5763038536238877E-5,64.1712180562709,0.6629652958624999
143.4667,-11.9033,train,2.6142854544873165E-5,64.76098873288826,0.6683261100842252
143.0667,-10.05,train,2.870930116755632E-5,68.62065594504485,0.7023818152239748
143.4917,-9.5667,train,2.7158819930795412E-5,66.37916752654382,0.6822503113360803
143.18,-11.705,train,2.9447419281453975E-5,69.51901267525686,0.7115123592765211
142.82,-10.1483,train,2.7149173407293553E-5,66.36269683907781,0.6821208904774558
143.2917,-9.9567,train,3.1087466357227476E-5,71.34078074210326,0.7308096476005763
143.3917,-9.8717,train,3.0488814310490613E-5,70.76554189908137,0.7239200622529868
143.17,-9.87,train,3.0012420322662933E-5,70.19883572036656,0.7183117098115697
151.920609,-23.453581,train,1.614600684618683E-5,34.95982871563623,0.4941893243239305
147.744,-19.3422,train,2.773415256320884E-5,67.21809285256103,0.6898746255399051
151.452021,-33.437042,train,6.3238819213760975E-6,4.5531027434125875,0.23429509838828055
35.073839,32.874999,train,6.703151846383284E-5,85.41031962121947,0.9409688817675105
153.15883,-26.00785,train,1.525451401645021E-5,30.55066708383942,0.4747910350993544
6.66324,43.26456,train,2.029540329356185E-5,50.96622352848968,0.5754633005200342
34.969239,32.830663,train,6.184878581100422E-5,84.19826857875482,0.9265319724878242
153.100538,-30.938691,train,7.865988561138942E-6,6.591494670378404,0.2825538782605922
149.2,-21.233333,train,2.9516625710574096E-5,69.60027135156933,0.7123539468180888
149.2,-21.156667,train,3.003137868595595E-5,70.22482265863181,0.7185370588694553
136.589305,-11.861707,train,5.25450230715198E-5,81.86343954451989,0.891190090616104
136.574905,-11.866069,train,5.3849240394153015E-5,82.20430392475794,0.89701887175116
136.39973,-11.894111,train,6.0412751232101323E-5,83.8368767154032,0.921940485096486
55.31307,-21.28838,train,1.6308441556361394E-5,35.740175264588146,0.4976458403282059
7.11592,43.56355,train,2.410166014834323E-5,60.98388938557889,0.6384790915837111
7.10522,43.58775,train,2.4275227137314986E-5,61.35249791276408,0.6411182798151632
136.19765,-12.00526,train,7.167693439772985E-5,86.36054518811851,0.9514807018959958
151.362227,-33.521561,train,6.374326796134233E-6,4.609927168992309,0.23592392940019125
146.278333,-18.145,train,3.598928404490399E-5,75.13363119591429,0.7811269641937608
146.146667,-18.168333,train,3.9899153410471316E-5,77.29819127727562,0.814428675579127
146.318333,-18.236667,train,3.7178775820045335E-5,75.85679958951998,0.7918459938590701
146.026667,-18.263333,train,4.118802895759272E-5,77.84078632847196,0.8242556661200043
153.361927,-29.431171,train,9.09519849986098E-6,8.856198444110726,0.3188329474087369
153.08625,-25.630799,train,1.6888959850515738E-5,38.29067629772473,0.5098070062890396
153.197288,-25.630805,train,1.671778638767667E-5,37.60417078678851,0.5062520565297675
151.30421,-33.707899,train,6.7906460632499905E-6,5.119203075124661,0.24923497895396085
151.9667,-24.3167,train,2.022001195430922E-5,50.708396840919995,0.5741100199117415
145.7167,-16.8,train,3.142176001450541E-5,71.64532627638414,0.734581778365381
151.7,-23.3,train,2.042990821249712E-5,51.42716731795463,0.5778670040784888
152.3833,-23.9,train,1.820951468126443E-5,43.67735604035227,0.5363857527679785
152.4567,-24.825,train,2.345288043206919E-5,59.523980011129744,0.6284409959740777
152.3333,-24.7333,train,2.2977797319065508E-5,58.4492966282767,0.6209140377698447
