variable,x,y
Surface.Temperature.Max,3.1005536880493167,5.334409070201218E-5
Surface.Temperature.Max,3.1880336818695074,5.517907993635163E-5
Surface.Temperature.Max,3.275513675689698,5.707719174097292E-5
Surface.Temperature.Max,3.362993669509887,5.90405979892239E-5
Surface.Temperature.Max,3.4504736633300777,6.107153603807092E-5
Surface.Temperature.Max,3.5379536571502683,6.317233783192933E-5
Surface.Temperature.Max,3.625433650970459,6.53454044368118E-5
Surface.Temperature.Max,3.7129136447906497,6.759321695426479E-5
Surface.Temperature.Max,3.8003936386108403,6.991834379732609E-5
Surface.Temperature.Max,3.887873632431031,7.23234552424401E-5
Surface.Temperature.Max,3.97535362625122,7.4811301601585E-5
Surface.Temperature.Max,4.062833620071411,7.738472049823031E-5
Surface.Temperature.Max,4.150313613891601,8.004664414329454E-5
Surface.Temperature.Max,4.237793607711792,8.280014299089089E-5
Surface.Temperature.Max,4.325273601531983,8.564835297875106E-5
Surface.Temperature.Max,4.412753595352173,8.859454101184383E-5
Surface.Temperature.Max,4.500233589172364,9.164206130662933E-5
Surface.Temperature.Max,4.587713582992553,9.479441359871998E-5
Surface.Temperature.Max,4.6751935768127435,9.80551922111772E-5
Surface.Temperature.Max,4.762673570632934,1.0142811515834183E-4
Surface.Temperature.Max,4.850153564453125,1.0491707507753745E-4
Surface.Temperature.Max,4.9376335582733155,1.085260373656638E-4
Surface.Temperature.Max,5.025113552093506,1.1225913476664573E-4
Surface.Temperature.Max,5.112593545913697,1.1612064554356039E-4
Surface.Temperature.Max,5.2000735397338875,1.2011496437480673E-4
Surface.Temperature.Max,5.287553533554076,1.2424665328580886E-4
Surface.Temperature.Max,5.375033527374267,1.2852047802880406E-4
Surface.Temperature.Max,5.462513521194458,1.3294130621943623E-4
Surface.Temperature.Max,5.549993515014648,1.3751420192420483E-4
Surface.Temperature.Max,5.637473508834839,1.4224436017684639E-4
Surface.Temperature.Max,5.72495350265503,1.471372233936563E-4
Surface.Temperature.Max,5.8124334964752205,1.521983795100823E-4
Surface.Temperature.Max,5.899913490295409,1.574335910845548E-4
Surface.Temperature.Max,5.9873934841156,1.6284888260997832E-4
Surface.Temperature.Max,6.074873477935791,1.6845043865032494E-4
Surface.Temperature.Max,6.162353471755981,1.742446474963799E-4
Surface.Temperature.Max,6.249833465576172,1.8023814482148737E-4
Surface.Temperature.Max,6.337313459396363,1.8643778457771987E-4
Surface.Temperature.Max,6.424793453216553,1.9285060989204794E-4
Surface.Temperature.Max,6.512273447036744,1.9948404224123806E-4
Surface.Temperature.Max,6.599753440856933,2.0634560496546328E-4
Surface.Temperature.Max,6.687233434677124,2.1344315609894693E-4
Surface.Temperature.Max,6.774713428497314,2.2078483016230166E-4
Surface.Temperature.Max,6.862193422317505,2.2837897995486856E-4
Surface.Temperature.Max,6.949673416137696,2.362343220738694E-4
Surface.Temperature.Max,7.037153409957886,2.443597768433392E-4
Surface.Temperature.Max,7.124633403778077,2.5276473024860024E-4
Surface.Temperature.Max,7.212113397598266,2.614587137941271E-4
Surface.Temperature.Max,7.2995933914184565,2.7045171009376645E-4
Surface.Temperature.Max,7.387073385238647,2.797539927996695E-4
Surface.Temperature.Max,7.474553379058838,2.89376184809953E-4
Surface.Temperature.Max,7.5620333728790285,2.9932920006103814E-4
Surface.Temperature.Max,7.649513366699219,3.0962456366978586E-4
Surface.Temperature.Max,7.73699336051941,3.202740044798702E-4
Surface.Temperature.Max,7.824473354339599,3.3128962968476117E-4
Surface.Temperature.Max,7.9119533481597895,3.4268409945070744E-4
Surface.Temperature.Max,7.99943334197998,3.5447036498226225E-4
Surface.Temperature.Max,8.08691333580017,3.666619013529271E-4
Surface.Temperature.Max,8.174393329620361,3.79272794816643E-4
Surface.Temperature.Max,8.261873323440552,3.9231718983501196E-4
Surface.Temperature.Max,8.349353317260743,4.0581030771136284E-4
Surface.Temperature.Max,8.436833311080933,4.197672242298722E-4
Surface.Temperature.Max,8.524313304901122,4.342040338087827E-4
Surface.Temperature.Max,8.611793298721313,4.491374420467764E-4
Surface.Temperature.Max,8.699273292541504,4.6458415454253554E-4
Surface.Temperature.Max,8.786753286361694,4.8056215746328235E-4
Surface.Temperature.Max,8.874233280181885,4.970893496647477E-4
Surface.Temperature.Max,8.961713274002076,5.141848232597113E-4
Surface.Temperature.Max,9.049193267822266,5.318682524375618E-4
Surface.Temperature.Max,9.136673261642455,5.501594278030097E-4
Surface.Temperature.Max,9.224153255462646,5.690797115676105E-4
Surface.Temperature.Max,9.311633249282837,5.886502331122756E-4
Surface.Temperature.Max,9.399113243103027,6.088938098400831E-4
Surface.Temperature.Max,9.486593236923218,6.298331427387893E-4
Surface.Temperature.Max,9.574073230743409,6.514923297800124E-4
Surface.Temperature.Max,9.6615532245636,6.738962838426232E-4
Surface.Temperature.Max,9.749033218383788,6.970702088437974E-4
Surface.Temperature.Max,9.836513212203979,7.21040996722877E-4
Surface.Temperature.Max,9.92399320602417,7.45835539419204E-4
Surface.Temperature.Max,10.01147319984436,7.714825915172696E-4
Surface.Temperature.Max,10.098953193664551,7.98010965809226E-4
Surface.Temperature.Max,10.186433187484742,8.254511631093919E-4
Surface.Temperature.Max,10.273913181304932,8.538347901776433E-4
Surface.Temperature.Max,10.361393175125123,8.831936866044998E-4
Surface.Temperature.Max,10.448873168945312,9.135619620792568E-4
Surface.Temperature.Max,10.536353162765502,9.449736098758876E-4
Surface.Temperature.Max,10.623833156585693,9.774647187441587E-4
Surface.Temperature.Max,10.711313150405882,0.0010110727744176984
Surface.Temperature.Max,10.798793144226075,0.0010458354372531176
Surface.Temperature.Max,10.886273138046263,0.0010817931033670902
Surface.Temperature.Max,10.973753131866456,0.0011189858196303248
Surface.Temperature.Max,11.061233125686645,0.0011574570089578629
Surface.Temperature.Max,11.148713119506837,0.0011972496286034584
Surface.Temperature.Max,11.236193113327026,0.0012384094297885895
Surface.Temperature.Max,11.323673107147219,0.0012809839099645615
Surface.Temperature.Max,11.411153100967407,0.001325020450167358
Surface.Temperature.Max,11.498633094787596,0.0013705702731385827
Surface.Temperature.Max,11.586113088607789,0.001417684368789196
Surface.Temperature.Max,11.673593082427978,0.0014664174523204565
Surface.Temperature.Max,11.76107307624817,0.0015168237732723355
Surface.Temperature.Max,11.848553070068359,0.0015689615393057466
Surface.Temperature.Max,11.936033063888551,0.0016228904714807868
Surface.Temperature.Max,12.02351305770874,0.0016786708729341626
Surface.Temperature.Max,12.11099305152893,0.0017363675870001316
Surface.Temperature.Max,12.198473045349122,0.0017960448749363422
Surface.Temperature.Max,12.28595303916931,0.0018577711889520288
Surface.Temperature.Max,12.373433032989503,0.0019216177752241492
Surface.Temperature.Max,12.460913026809692,0.0019876554142683744
Surface.Temperature.Max,12.548393020629884,0.002055961173027754
Surface.Temperature.Max,12.635873014450073,0.0021266108378767967
Surface.Temperature.Max,12.723353008270262,0.0021996863652020693
Surface.Temperature.Max,12.810833002090455,0.0022752692457288504
Surface.Temperature.Max,12.898312995910644,0.002353446325287223
Surface.Temperature.Max,12.985792989730836,0.00243430701084435
Surface.Temperature.Max,13.073272983551025,0.0025179414078593254
Surface.Temperature.Max,13.160752977371217,0.002604446606710553
Surface.Temperature.Max,13.248232971191406,0.0026939185336232185
Surface.Temperature.Max,13.335712965011595,0.002786461031064391
Surface.Temperature.Max,13.423192958831788,0.0028821767773479223
Surface.Temperature.Max,13.510672952651976,0.0029811756685376167
Surface.Temperature.Max,13.598152946472169,0.00308357086032629
Surface.Temperature.Max,13.685632940292358,0.0031894759740680456
Surface.Temperature.Max,13.77311293411255,0.0032990139443427324
Surface.Temperature.Max,13.86059292793274,0.0034123058430850506
Surface.Temperature.Max,13.948072921752928,0.003529482986778021
Surface.Temperature.Max,14.03555291557312,0.0036506750620901585
Surface.Temperature.Max,14.12303290939331,0.0037760206032544374
Surface.Temperature.Max,14.210512903213502,0.0039056630339473486
Surface.Temperature.Max,14.29799289703369,0.004039745777845383
Surface.Temperature.Max,14.385472890853883,0.004178423434495926
Surface.Temperature.Max,14.472952884674072,0.0043218499049544334
Surface.Temperature.Max,14.560432878494261,0.00447018863633275
Surface.Temperature.Max,14.647912872314453,0.004623608663678169
Surface.Temperature.Max,14.735392866134642,0.00478227948769927
Surface.Temperature.Max,14.822872859954835,0.004946384113281965
Surface.Temperature.Max,14.910352853775024,0.00511610321700573
Surface.Temperature.Max,14.997832847595216,0.005291632376611233
Surface.Temperature.Max,15.085312841415405,0.0054731653071939945
Surface.Temperature.Max,15.172792835235597,0.005660907831043005
Surface.Temperature.Max,15.260272829055786,0.005855073686689138
Surface.Temperature.Max,15.347752822875975,0.006055876612663269
Surface.Temperature.Max,15.435232816696168,0.006263547111302614
Surface.Temperature.Max,15.522712810516357,0.006478313356637955
Surface.Temperature.Max,15.610192804336549,0.006700421217828989
Surface.Temperature.Max,15.697672798156738,0.006930114701390266
Surface.Temperature.Max,15.78515279197693,0.007167653646320105
Surface.Temperature.Max,15.87263278579712,0.0074133072048425674
Surface.Temperature.Max,15.960112779617308,0.007667344529181719
Surface.Temperature.Max,16.0475927734375,0.00793005246669054
Surface.Temperature.Max,16.13507276725769,0.008201726712286472
Surface.Temperature.Max,16.222552761077882,0.008482668548822403
Surface.Temperature.Max,16.31003275489807,0.008773185312747955
Surface.Temperature.Max,16.397512748718263,0.009073612280189991
Surface.Temperature.Max,16.484992742538452,0.00938427820801735
Surface.Temperature.Max,16.57247273635864,0.009705528616905212
Surface.Temperature.Max,16.659952730178833,0.010037713684141636
Surface.Temperature.Max,16.747432723999022,0.010381215251982212
Surface.Temperature.Max,16.834912717819215,0.010736408643424511
Surface.Temperature.Max,16.922392711639404,0.011103678494691849
Surface.Temperature.Max,17.009872705459596,0.011483447626233101
Surface.Temperature.Max,17.097352699279785,0.011876126751303673
Surface.Temperature.Max,17.184832693099974,0.012282149866223335
Surface.Temperature.Max,17.272312686920166,0.012701956555247307
Surface.Temperature.Max,17.359792680740355,0.01313602551817894
Surface.Temperature.Max,17.447272674560548,0.013584825210273266
Surface.Temperature.Max,17.534752668380737,0.014048839919269085
Surface.Temperature.Max,17.62223266220093,0.01452859677374363
Surface.Temperature.Max,17.709712656021118,0.015024611726403236
Surface.Temperature.Max,17.797192649841307,0.015537427738308907
Surface.Temperature.Max,17.8846726436615,0.016067590564489365
Surface.Temperature.Max,17.97215263748169,0.01661570370197296
Surface.Temperature.Max,18.05963263130188,0.017182352021336555
Surface.Temperature.Max,18.14711262512207,0.0177681352943182
Surface.Temperature.Max,18.234592618942262,0.01837371475994587
